Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Profit,Order year,Order Month,Order Weekday,Order_Ship_Days
Middle East and North Africa,Libya,Cosmetics,Offline,M,8446,437.2,263.33,1468506.02,2014,10,fri,13 days
North America,Canada,Vegetables,Online,M,3018,154.06,90.93,190526.34,2011,11,sun,31 days
Middle East and North Africa,Libya,Baby Food,Offline,C,1517,255.28,159.42,145419.62,2016,10,sun,39 days
Asia,Japan,Cereal,Offline,C,3322,205.7,117.11,294295.98,2010,4,fri,32 days
Sub-Saharan Africa,Chad,Fruits,Offline,H,9845,9.33,6.92,23726.45,2011,8,mon,15 days
Europe,Armenia,Cereal,Online,H,9528,205.7,117.11,844085.52,2014,11,sun,34 days
Sub-Saharan Africa,Eritrea,Cereal,Online,H,2844,205.7,117.11,251949.96,2015,3,tue,44 days
Europe,Montenegro,Clothes,Offline,M,7299,109.28,35.84,536038.56,2012,5,wed,42 days
Central America and the Caribbean,Jamaica,Vegetables,Online,H,2428,154.06,90.93,153279.64,2015,1,wed,37 days
Australia and Oceania,Fiji,Vegetables,Offline,H,4800,154.06,90.93,303024.0,2013,12,mon,26 days
Sub-Saharan Africa,Togo,Clothes,Online,M,3012,109.28,35.84,221201.28,2015,12,mon,21 days
Europe,Montenegro,Snacks,Offline,M,2694,152.58,97.44,148547.16,2010,2,fri,19 days
Europe,Greece,Household,Online,C,1508,668.27,502.54,249920.84,2016,11,wed,35 days
Sub-Saharan Africa,Sudan,Cosmetics,Online,C,4146,437.2,263.33,720865.02,2015,12,sat,16 days
Asia,Maldives,Fruits,Offline,L,7332,9.33,6.92,17670.12,2011,1,fri,29 days
Europe,Montenegro,Clothes,Offline,H,4820,109.28,35.84,353980.8,2010,6,sun,24 days
Europe,Estonia,Office Supplies,Online,H,2397,651.21,524.96,302621.25,2016,4,sun,17 days
North America,Greenland,Beverages,Online,M,2880,47.45,31.79,45100.8,2012,7,thur,11 days
Sub-Saharan Africa,Cape Verde,Clothes,Online,C,1117,109.28,35.84,82032.48,2014,9,sun,25 days
Sub-Saharan Africa,Senegal,Household,Offline,L,8989,668.27,502.54,1489746.97,2012,8,sun,12 days
